SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,SEARCH_TIME,ITERATIONS,ID
Rexona.sol,,413,DynaMOSA,true,0.42857142857142855,6,22,0.2727272727272727,28,39,0.717948717948718,7,8,0.875,9,12,0.75,1715.4280002117157,17,187,202
FairStockEquity.sol,,911,DynaMOSA,true,0.5365853658536586,1,6,0.16666666666666666,56,120,0.4666666666666667,25,28,0.8928571428571429,26,48,0.5416666666666666,1785.1050000190735,12,137,202
Fomp.sol,,601,DynaMOSA,true,0.6825396825396826,9,24,0.375,65,92,0.7065217391304348,19,19,1,15,20,0.75,1712.9189999103546,20,221,202
KPLAY.sol,,22,DynaMOSA,true,0.6851851851851852,2,12,0.16666666666666666,83,124,0.6693548387096774,39,46,0.8478260869565217,37,50,0.74,1713.683000087738,16,185,202
GreenMarkTrust.sol,,907,DynaMOSA,true,0.7916666666666666,1,2,0.5,28,37,0.7567567567567568,8,8,1,12,14,0.8571428571428571,1711.5539999008179,17,187,202
GardenContractV2.sol,,656,DynaMOSA,true,0.2672413793103448,7,62,0.11290322580645161,49,197,0.24873096446700507,24,32,0.75,0,22,0,1694.2400000095367,13,145,202
XenoFelix.sol,,941,DynaMOSA,true,0.7304964539007093,4,18,0.2222222222222222,102,151,0.6754966887417219,53,63,0.8412698412698413,47,60,0.7833333333333333,1722.239000082016,17,196,202
OnXFinance.sol,,783,DynaMOSA,true,0.1650485436893204,5,26,0.19230769230769232,28,105,0.26666666666666666,7,37,0.1891891891891892,9,40,0.225,1701.1080000400543,17,192,202
TetherToken.sol,,834,DynaMOSA,true,0.7358490566037735,6,12,0.5,41,51,0.803921568627451,11,11,1,27,30,0.9,1716.0880000591278,16,186,202
Vat.sol,,434,DynaMOSA,true,0.5656565656565656,4,8,0.5,60,98,0.6122448979591837,27,29,0.9310344827586207,34,62,0.5483870967741935,1715.0969998836517,19,218,208
