0,DingoInu.sol,0
4,DingoInu.sol,0
5,DingoInu.sol,0
7,DingoInu.sol,0
8,DingoInu.sol,0
10,DingoInu.sol,0
11,DingoInu.sol,0
13,DingoInu.sol,0
14,DingoInu.sol,0
15,DingoInu.sol,0
17,DingoInu.sol,0
18,DingoInu.sol,0
19,DingoInu.sol,0
21,DingoInu.sol,0
22,DingoInu.sol,0
24,DingoInu.sol,0
25,DingoInu.sol,0
26,DingoInu.sol,0
28,DingoInu.sol,0
29,DingoInu.sol,0
31,DingoInu.sol,0
32,DingoInu.sol,0
33,DingoInu.sol,0
35,DingoInu.sol,0
36,DingoInu.sol,0
37,DingoInu.sol,0
39,DingoInu.sol,0
40,DingoInu.sol,0
41,DingoInu.sol,0
43,DingoInu.sol,0
44,DingoInu.sol,0
45,DingoInu.sol,0
47,DingoInu.sol,0
48,DingoInu.sol,0
49,DingoInu.sol,0
51,DingoInu.sol,0
52,DingoInu.sol,0
54,DingoInu.sol,0
55,DingoInu.sol,0
56,DingoInu.sol,0
58,DingoInu.sol,0
59,DingoInu.sol,0
61,DingoInu.sol,0
62,DingoInu.sol,0
63,DingoInu.sol,0
65,DingoInu.sol,0
66,DingoInu.sol,0
67,DingoInu.sol,0
69,DingoInu.sol,0
70,DingoInu.sol,0
71,DingoInu.sol,0
73,DingoInu.sol,0
74,DingoInu.sol,0
75,DingoInu.sol,0
77,DingoInu.sol,0
78,DingoInu.sol,0
79,DingoInu.sol,0
81,DingoInu.sol,0
82,DingoInu.sol,0
83,DingoInu.sol,0
85,DingoInu.sol,0
86,DingoInu.sol,0
87,DingoInu.sol,0
89,DingoInu.sol,0
90,DingoInu.sol,0
91,DingoInu.sol,0
93,DingoInu.sol,0
94,DingoInu.sol,0
96,DingoInu.sol,0
97,DingoInu.sol,0
98,DingoInu.sol,0
100,DingoInu.sol,0
101,DingoInu.sol,0
102,DingoInu.sol,0
104,DingoInu.sol,0
105,DingoInu.sol,0
106,DingoInu.sol,0
108,DingoInu.sol,0
109,DingoInu.sol,0
110,DingoInu.sol,0
111,DingoInu.sol,0
113,DingoInu.sol,0
114,DingoInu.sol,0
116,DingoInu.sol,0
117,DingoInu.sol,0
118,DingoInu.sol,0
119,DingoInu.sol,0
121,DingoInu.sol,0
122,DingoInu.sol,0
123,DingoInu.sol,0
124,DingoInu.sol,0
126,DingoInu.sol,0
127,DingoInu.sol,0
128,DingoInu.sol,0
130,DingoInu.sol,0
131,DingoInu.sol,0
132,DingoInu.sol,0
134,DingoInu.sol,0
135,DingoInu.sol,0
136,DingoInu.sol,0
138,DingoInu.sol,0
139,DingoInu.sol,0
140,DingoInu.sol,0
142,DingoInu.sol,0
143,DingoInu.sol,0
145,DingoInu.sol,0
146,DingoInu.sol,0
147,DingoInu.sol,0
148,DingoInu.sol,0
150,DingoInu.sol,0
151,DingoInu.sol,0
152,DingoInu.sol,0
154,DingoInu.sol,0
155,DingoInu.sol,0
157,DingoInu.sol,0
158,DingoInu.sol,0
159,DingoInu.sol,0
161,DingoInu.sol,0
162,DingoInu.sol,0
164,DingoInu.sol,0
165,DingoInu.sol,0
166,DingoInu.sol,0
168,DingoInu.sol,0
169,DingoInu.sol,0
170,DingoInu.sol,0
172,DingoInu.sol,0
173,DingoInu.sol,0
174,DingoInu.sol,0
176,DingoInu.sol,0
177,DingoInu.sol,0
178,DingoInu.sol,0
180,DingoInu.sol,0
181,DingoInu.sol,0
182,DingoInu.sol,0
184,DingoInu.sol,0
185,DingoInu.sol,0
186,DingoInu.sol,0
188,DingoInu.sol,0
189,DingoInu.sol,0
190,DingoInu.sol,0
192,DingoInu.sol,0
193,DingoInu.sol,0
194,DingoInu.sol,0
196,DingoInu.sol,0
197,DingoInu.sol,0
198,DingoInu.sol,0
200,DingoInu.sol,0
201,DingoInu.sol,0
202,DingoInu.sol,0
204,DingoInu.sol,0
205,DingoInu.sol,0
206,DingoInu.sol,0
208,DingoInu.sol,0
209,DingoInu.sol,0
210,DingoInu.sol,0
212,DingoInu.sol,0
213,DingoInu.sol,0
215,DingoInu.sol,0
216,DingoInu.sol,0
217,DingoInu.sol,0
218,DingoInu.sol,0
220,DingoInu.sol,0
221,DingoInu.sol,0
223,DingoInu.sol,0
224,DingoInu.sol,0
225,DingoInu.sol,0
226,DingoInu.sol,0
228,DingoInu.sol,0
229,DingoInu.sol,0
230,DingoInu.sol,0
232,DingoInu.sol,0
233,DingoInu.sol,0
234,DingoInu.sol,0
235,DingoInu.sol,0
237,DingoInu.sol,0
238,DingoInu.sol,0
239,DingoInu.sol,0
241,DingoInu.sol,0
242,DingoInu.sol,0
244,DingoInu.sol,0
245,DingoInu.sol,0
246,DingoInu.sol,0
248,DingoInu.sol,0
249,DingoInu.sol,0
250,DingoInu.sol,0
251,DingoInu.sol,0
253,DingoInu.sol,0
254,DingoInu.sol,0
256,DingoInu.sol,0
257,DingoInu.sol,0
258,DingoInu.sol,0
260,DingoInu.sol,0
261,DingoInu.sol,0
262,DingoInu.sol,0
264,DingoInu.sol,0
265,DingoInu.sol,0
266,DingoInu.sol,0
267,DingoInu.sol,0
269,DingoInu.sol,0
270,DingoInu.sol,0
271,DingoInu.sol,0
273,DingoInu.sol,0
274,DingoInu.sol,0
275,DingoInu.sol,0
277,DingoInu.sol,0
278,DingoInu.sol,0
279,DingoInu.sol,0
281,DingoInu.sol,0
282,DingoInu.sol,0
283,DingoInu.sol,0
285,DingoInu.sol,0
286,DingoInu.sol,0
287,DingoInu.sol,0
289,DingoInu.sol,0
290,DingoInu.sol,0
291,DingoInu.sol,0
293,DingoInu.sol,0
294,DingoInu.sol,0
296,DingoInu.sol,0
297,DingoInu.sol,0
298,DingoInu.sol,0
300,DingoInu.sol,0
301,DingoInu.sol,0
302,DingoInu.sol,0
304,DingoInu.sol,0
305,DingoInu.sol,0
306,DingoInu.sol,0
308,DingoInu.sol,0
309,DingoInu.sol,0
310,DingoInu.sol,0
312,DingoInu.sol,0
313,DingoInu.sol,0
315,DingoInu.sol,0
316,DingoInu.sol,0
317,DingoInu.sol,0
319,DingoInu.sol,0
320,DingoInu.sol,0
322,DingoInu.sol,0
323,DingoInu.sol,0
324,DingoInu.sol,0
326,DingoInu.sol,0
327,DingoInu.sol,0
329,DingoInu.sol,0
330,DingoInu.sol,0
331,DingoInu.sol,0
332,DingoInu.sol,0
334,DingoInu.sol,0
335,DingoInu.sol,0
336,DingoInu.sol,0
338,DingoInu.sol,0
339,DingoInu.sol,0
340,DingoInu.sol,0
342,DingoInu.sol,0
343,DingoInu.sol,0
344,DingoInu.sol,0
346,DingoInu.sol,0
347,DingoInu.sol,0
348,DingoInu.sol,0
350,DingoInu.sol,0
351,DingoInu.sol,0
353,DingoInu.sol,0
354,DingoInu.sol,0
356,DingoInu.sol,0
357,DingoInu.sol,0
358,DingoInu.sol,0
360,DingoInu.sol,0
361,DingoInu.sol,0
362,DingoInu.sol,0
364,DingoInu.sol,0
365,DingoInu.sol,0
367,DingoInu.sol,0
368,DingoInu.sol,0
369,DingoInu.sol,0
371,DingoInu.sol,0
372,DingoInu.sol,0
373,DingoInu.sol,0
375,DingoInu.sol,0
376,DingoInu.sol,0
377,DingoInu.sol,0
379,DingoInu.sol,0
380,DingoInu.sol,0
382,DingoInu.sol,0
383,DingoInu.sol,0
384,DingoInu.sol,0
386,DingoInu.sol,0
387,DingoInu.sol,0
389,DingoInu.sol,0
390,DingoInu.sol,0
391,DingoInu.sol,0
392,DingoInu.sol,0
394,DingoInu.sol,0
395,DingoInu.sol,0
396,DingoInu.sol,0
397,DingoInu.sol,0
399,DingoInu.sol,0
400,DingoInu.sol,0
401,DingoInu.sol,0
402,DingoInu.sol,0
403,DingoInu.sol,0
405,DingoInu.sol,0
406,DingoInu.sol,0
407,DingoInu.sol,0
408,DingoInu.sol,0
409,DingoInu.sol,0
411,DingoInu.sol,0
412,DingoInu.sol,0
413,DingoInu.sol,0
414,DingoInu.sol,0
416,DingoInu.sol,0
417,DingoInu.sol,0
418,DingoInu.sol,0
419,DingoInu.sol,0
420,DingoInu.sol,0
422,DingoInu.sol,0
423,DingoInu.sol,0
424,DingoInu.sol,0
425,DingoInu.sol,0
426,DingoInu.sol,0
428,DingoInu.sol,0
429,DingoInu.sol,0
430,DingoInu.sol,0
431,DingoInu.sol,0
433,DingoInu.sol,0
434,DingoInu.sol,0
435,DingoInu.sol,0
436,DingoInu.sol,0
438,DingoInu.sol,0
439,DingoInu.sol,0
440,DingoInu.sol,0
441,DingoInu.sol,0
443,DingoInu.sol,0
444,DingoInu.sol,0
445,DingoInu.sol,0
446,DingoInu.sol,0
448,DingoInu.sol,0
449,DingoInu.sol,0
450,DingoInu.sol,0
451,DingoInu.sol,0
453,DingoInu.sol,0
454,DingoInu.sol,0
455,DingoInu.sol,0
457,DingoInu.sol,0
458,DingoInu.sol,0
460,DingoInu.sol,0
461,DingoInu.sol,0
462,DingoInu.sol,0
464,DingoInu.sol,0
465,DingoInu.sol,0
466,DingoInu.sol,0
468,DingoInu.sol,0
469,DingoInu.sol,0
470,DingoInu.sol,0
471,DingoInu.sol,0
472,DingoInu.sol,0
474,DingoInu.sol,0
475,DingoInu.sol,0
476,DingoInu.sol,0
477,DingoInu.sol,0
478,DingoInu.sol,0
480,DingoInu.sol,0
481,DingoInu.sol,0
482,DingoInu.sol,0
484,DingoInu.sol,0
485,DingoInu.sol,0
486,DingoInu.sol,0
488,DingoInu.sol,0
489,DingoInu.sol,0
490,DingoInu.sol,0
492,DingoInu.sol,0
493,DingoInu.sol,0
494,DingoInu.sol,0
496,DingoInu.sol,0
497,DingoInu.sol,0
499,DingoInu.sol,0
500,DingoInu.sol,0
501,DingoInu.sol,0
503,DingoInu.sol,0
504,DingoInu.sol,0
506,DingoInu.sol,0
507,DingoInu.sol,0
508,DingoInu.sol,0
510,DingoInu.sol,0
511,DingoInu.sol,0
513,DingoInu.sol,0
514,DingoInu.sol,0
515,DingoInu.sol,0
517,DingoInu.sol,0
518,DingoInu.sol,0
519,DingoInu.sol,0
521,DingoInu.sol,0
522,DingoInu.sol,0
524,DingoInu.sol,0
525,DingoInu.sol,0
527,DingoInu.sol,0
528,DingoInu.sol,0
530,DingoInu.sol,0
531,DingoInu.sol,0
532,DingoInu.sol,0
534,DingoInu.sol,0
535,DingoInu.sol,0
537,DingoInu.sol,0
538,DingoInu.sol,0
540,DingoInu.sol,0
541,DingoInu.sol,0
543,DingoInu.sol,0
544,DingoInu.sol,0
545,DingoInu.sol,0
547,DingoInu.sol,0
548,DingoInu.sol,0
549,DingoInu.sol,0
551,DingoInu.sol,0
552,DingoInu.sol,0
553,DingoInu.sol,0
555,DingoInu.sol,0
556,DingoInu.sol,0
557,DingoInu.sol,0
559,DingoInu.sol,0
560,DingoInu.sol,0
562,DingoInu.sol,0
563,DingoInu.sol,0
565,DingoInu.sol,0
566,DingoInu.sol,0
568,DingoInu.sol,0
569,DingoInu.sol,0
571,DingoInu.sol,0
572,DingoInu.sol,0
574,DingoInu.sol,0
575,DingoInu.sol,0
577,DingoInu.sol,0
579,DingoInu.sol,0
580,DingoInu.sol,0
581,DingoInu.sol,0
583,DingoInu.sol,0
584,DingoInu.sol,0
586,DingoInu.sol,0
587,DingoInu.sol,0
588,DingoInu.sol,0
590,DingoInu.sol,0
591,DingoInu.sol,0
593,DingoInu.sol,0
594,DingoInu.sol,0
596,DingoInu.sol,0
597,DingoInu.sol,0
599,DingoInu.sol,0
600,DingoInu.sol,0
601,DingoInu.sol,0
603,DingoInu.sol,0
604,DingoInu.sol,0
606,DingoInu.sol,0
608,DingoInu.sol,0
609,DingoInu.sol,0
610,DingoInu.sol,0
612,DingoInu.sol,0
613,DingoInu.sol,0
615,DingoInu.sol,0
616,DingoInu.sol,0
618,DingoInu.sol,0
619,DingoInu.sol,0
621,DingoInu.sol,0
622,DingoInu.sol,0
623,DingoInu.sol,0
625,DingoInu.sol,0
626,DingoInu.sol,0
627,DingoInu.sol,0
629,DingoInu.sol,0
630,DingoInu.sol,0
632,DingoInu.sol,0
633,DingoInu.sol,0
634,DingoInu.sol,0
636,DingoInu.sol,0
637,DingoInu.sol,0
639,DingoInu.sol,0
640,DingoInu.sol,0
642,DingoInu.sol,0
643,DingoInu.sol,0
644,DingoInu.sol,0
646,DingoInu.sol,0
648,DingoInu.sol,0
649,DingoInu.sol,0
651,DingoInu.sol,0
652,DingoInu.sol,0
654,DingoInu.sol,0
655,DingoInu.sol,0
657,DingoInu.sol,0
658,DingoInu.sol,0
660,DingoInu.sol,0
661,DingoInu.sol,0
662,DingoInu.sol,0
664,DingoInu.sol,0
665,DingoInu.sol,0
667,DingoInu.sol,0
668,DingoInu.sol,0
670,DingoInu.sol,0
672,DingoInu.sol,0
673,DingoInu.sol,0
674,DingoInu.sol,0
676,DingoInu.sol,0
677,DingoInu.sol,0
679,DingoInu.sol,0
680,DingoInu.sol,0
682,DingoInu.sol,0
683,DingoInu.sol,0
684,DingoInu.sol,0
686,DingoInu.sol,0
688,DingoInu.sol,0
689,DingoInu.sol,0
690,DingoInu.sol,0
692,DingoInu.sol,0
693,DingoInu.sol,0
695,DingoInu.sol,0
696,DingoInu.sol,0
697,DingoInu.sol,0
699,DingoInu.sol,0
700,DingoInu.sol,0
702,DingoInu.sol,0
703,DingoInu.sol,0
705,DingoInu.sol,0
706,DingoInu.sol,0
708,DingoInu.sol,0
709,DingoInu.sol,0
711,DingoInu.sol,0
712,DingoInu.sol,0
714,DingoInu.sol,0
715,DingoInu.sol,0
717,DingoInu.sol,0
718,DingoInu.sol,0
720,DingoInu.sol,0
721,DingoInu.sol,0
722,DingoInu.sol,0
724,DingoInu.sol,0
725,DingoInu.sol,0
727,DingoInu.sol,0
728,DingoInu.sol,0
730,DingoInu.sol,0
732,DingoInu.sol,0
733,DingoInu.sol,0
735,DingoInu.sol,0
736,DingoInu.sol,0
737,DingoInu.sol,0
739,DingoInu.sol,0
740,DingoInu.sol,0
742,DingoInu.sol,0
743,DingoInu.sol,0
744,DingoInu.sol,0
746,DingoInu.sol,0
747,DingoInu.sol,0
749,DingoInu.sol,0
750,DingoInu.sol,0
751,DingoInu.sol,0
752,DingoInu.sol,0
754,DingoInu.sol,0
755,DingoInu.sol,0
756,DingoInu.sol,0
758,DingoInu.sol,0
759,DingoInu.sol,0
761,DingoInu.sol,0
762,DingoInu.sol,0
763,DingoInu.sol,0
765,DingoInu.sol,0
766,DingoInu.sol,0
768,DingoInu.sol,0
769,DingoInu.sol,0
771,DingoInu.sol,0
772,DingoInu.sol,0
774,DingoInu.sol,0
775,DingoInu.sol,0
777,DingoInu.sol,0
778,DingoInu.sol,0
780,DingoInu.sol,0
781,DingoInu.sol,0
783,DingoInu.sol,0
784,DingoInu.sol,0
786,DingoInu.sol,0
787,DingoInu.sol,0
788,DingoInu.sol,0
789,DingoInu.sol,0
791,DingoInu.sol,0
792,DingoInu.sol,0
794,DingoInu.sol,0
795,DingoInu.sol,0
797,DingoInu.sol,0
798,DingoInu.sol,0
800,DingoInu.sol,0
801,DingoInu.sol,0
803,DingoInu.sol,0
804,DingoInu.sol,0
805,DingoInu.sol,0
807,DingoInu.sol,0
808,DingoInu.sol,0
809,DingoInu.sol,0
811,DingoInu.sol,0
812,DingoInu.sol,0
813,DingoInu.sol,0
815,DingoInu.sol,0
816,DingoInu.sol,0
818,DingoInu.sol,0
819,DingoInu.sol,0
821,DingoInu.sol,0
822,DingoInu.sol,0
824,DingoInu.sol,0
825,DingoInu.sol,0
827,DingoInu.sol,0
828,DingoInu.sol,0
829,DingoInu.sol,0
831,DingoInu.sol,0
832,DingoInu.sol,0
834,DingoInu.sol,0
835,DingoInu.sol,0
836,DingoInu.sol,0
838,DingoInu.sol,0
839,DingoInu.sol,0
840,DingoInu.sol,0
842,DingoInu.sol,0
843,DingoInu.sol,0
845,DingoInu.sol,0
846,DingoInu.sol,0
847,DingoInu.sol,0
849,DingoInu.sol,0
850,DingoInu.sol,0
852,DingoInu.sol,0
853,DingoInu.sol,0
855,DingoInu.sol,0
856,DingoInu.sol,0
858,DingoInu.sol,0
859,DingoInu.sol,0
861,DingoInu.sol,0
862,DingoInu.sol,0
863,DingoInu.sol,0
865,DingoInu.sol,0
866,DingoInu.sol,0
868,DingoInu.sol,0
869,DingoInu.sol,0
870,DingoInu.sol,0
871,DingoInu.sol,0
873,DingoInu.sol,0
874,DingoInu.sol,0
876,DingoInu.sol,0
877,DingoInu.sol,0
878,DingoInu.sol,0
880,DingoInu.sol,0
881,DingoInu.sol,0
883,DingoInu.sol,0
884,DingoInu.sol,0
885,DingoInu.sol,0
887,DingoInu.sol,0
888,DingoInu.sol,0
890,DingoInu.sol,0
891,DingoInu.sol,0
893,DingoInu.sol,0
894,DingoInu.sol,0
895,DingoInu.sol,0
897,DingoInu.sol,0
898,DingoInu.sol,0
899,DingoInu.sol,0
900,DingoInu.sol,0
0,DingoInu.sol,0
7,DingoInu.sol,0
12,DingoInu.sol,0
17,DingoInu.sol,0
22,DingoInu.sol,0
27,DingoInu.sol,0
32,DingoInu.sol,0
36,DingoInu.sol,0
40,DingoInu.sol,0
44,DingoInu.sol,0
49,DingoInu.sol,0
54,DingoInu.sol,0
59,DingoInu.sol,0
63,DingoInu.sol,0
68,DingoInu.sol,0
72,DingoInu.sol,0
76,DingoInu.sol,0
81,DingoInu.sol,0
87,DingoInu.sol,0
91,DingoInu.sol,0
95,DingoInu.sol,0
100,DingoInu.sol,0
105,DingoInu.sol,0
110,DingoInu.sol,0
116,DingoInu.sol,0
120,DingoInu.sol,0
124,DingoInu.sol,0
